cid,blend,nco_oh,mdi_fraction,property_score,robust_score,state_score,state_robust_score,state_nominal_rank,state_robust_rank
WO_INV_0458,PPG1000:70+PPG700:30,2.4,0.4039885088984515,0.0133129726251111,0.0520225296280027,1.0267493136895194,6.173366880602735,96.0,100.0
WO_INV_0599,PPG2000:70+PPG400:30,2.1,0.3663175604493442,0.0060725367812976,0.0406790953100625,0.8437511757108815,6.293923984018255,86.0,101.0
WO_INV_0474,PPG1000:80+PPG700:20,2.4,0.3947024357173986,0.0096495997388681,0.0461551854774308,1.0328565009104467,6.435122026204019,97.0,102.0
WO_INV_0585,PPG2000:60+PPG400:40,2.3,0.4279986100366224,0.0219198945880404,0.0673429578420425,1.1761192901326374,6.499829720671116,105.0,103.0
WO_INV_0695,PPG2000:40+PPG700:60,2.1,0.3571426275509385,0.0086184752291581,0.0452391780464658,0.9391567272922435,6.512394336827325,92.0,104.0
WO_INV_0681,PPG2000:30+PPG700:70,2.3,0.398283151401737,0.0087377881856026,0.044319462357792,1.0565064138968878,6.554145466245765,101.0,105.0
WO_INV_0427,PPG1000:50+PPG700:50,2.5,0.4317172793464748,0.0323851813673327,0.080872981392253,1.4381748924026725,6.622201612780622,112.0,106.0
WO_INV_0666,PPG2000:20+PPG700:80,2.4,0.4274131672068069,0.0245699415138052,0.0715304431331519,1.286011127311324,6.709097481490026,107.0,107.0
WO_INV_0490,PPG1000:90+PPG700:10,2.4,0.3851224221257547,0.0075205044398811,0.042063264053435,1.0670269031327262,6.719379340936741,102.0,108.0
WO_INV_0443,PPG1000:60+PPG700:40,2.5,0.4229243309528961,0.0247878778761414,0.0712791443079698,1.3722554145632337,6.822566393247182,111.0,109.0
WO_INV_0347,PPG1000:90+PPG400:10,2.5,0.4184250222634171,0.0215153439614029,0.0678340866529488,1.3511259949011678,7.050428899797067,110.0,110.0
WO_INV_0459,PPG1000:70+PPG700:30,2.5,0.4138550023812141,0.0186208316961818,0.0630058535629544,1.3368642519327736,7.05404121928912,109.0,111.0
WO_INV_0475,PPG1000:80+PPG700:20,2.5,0.4044960547863629,0.0139323317931863,0.0560933128576734,1.3313761280042045,7.314649537248945,108.0,112.0
WO_INV_0586,PPG2000:60+PPG400:40,2.4,0.4384483203989263,0.0287720927729507,0.080166765330478,1.5150257037879427,7.423173124775625,113.0,113.0
WO_INV_0667,PPG2000:20+PPG700:80,2.5,0.4374318765162969,0.0318013728018969,0.0847738160225137,1.6397361913357635,7.649833318418122,114.0,114.0
WO_INV_0444,PPG1000:60+PPG700:40,2.6,0.4325243021467605,0.0320381633851429,0.084476745718919,1.736147009971904,7.769902748746631,117.0,115.0
WO_INV_0460,PPG1000:70+PPG700:30,2.6,0.4234001516457601,0.0248624677723131,0.075174747034988,1.6901000886209023,8.001200550088432,115.0,116.0
WO_INV_0348,PPG1000:90+PPG400:10,2.6,0.4279986100366224,0.0282620997782168,0.0805888848224861,1.7098304757919807,8.004813392476057,116.0,117.0
